season,conference,rating
2011-12,Big Ten,0.580496
2011-12,Big East,0.568068
2011-12,Big 12,0.564916
2011-12,SEC,0.562488
2011-12,MWC,0.556438
2011-12,ACC,0.551874
2011-12,A-10,0.534425
2011-12,Pac-12,0.526179
2011-12,MVC,0.526171
2011-12,CUSA,0.525437
2011-12,WCC,0.510989
2011-12,WAC,0.50627
2011-12,Horizon,0.493476
2011-12,CAA,0.492939
2011-12,Ivy,0.492202
2011-12,Summit,0.489157
2011-12,AAC,0.485695
2011-12,MAC,0.481763
2011-12,Atlantic Sun,0.481289
2011-12,Sun Belt,0.481136
2011-12,OVC,0.474516
2011-12,Patriot,0.471332
2011-12,Southern,0.463792
2011-12,Northeast,0.461043
2011-12,Big West,0.459584
2011-12,Big Sky,0.458804
2011-12,Big South,0.452298
2011-12,Southland,0.451396
2011-12,America East,0.434135
2011-12,MEAC,0.432801
2011-12,Great West,0.412891
2011-12,Independents,0.40968
2011-12,SWAC,0.407302
2012-13,Big Ten,0.580716
2012-13,Big East,0.574347
2012-13,MWC,0.573017
2012-13,ACC,0.559479
2012-13,Big 12,0.555599
2012-13,Pac-12,0.552034
2012-13,A-10,0.545499
2012-13,MVC,0.538366
2012-13,SEC,0.537719
2012-13,WCC,0.531404
2012-13,CUSA,0.518061
2012-13,Horizon,0.496183
2012-13,WAC,0.496074
2012-13,AAC,0.490459
2012-13,Sun Belt,0.485899
2012-13,OVC,0.482268
2012-13,MAC,0.477794
2012-13,Patriot,0.47666
2012-13,Summit,0.472844
2012-13,Northeast,0.472547
2012-13,Big West,0.469607
2012-13,America East,0.467853
2012-13,CAA,0.467818
2012-13,Ivy,0.46687
2012-13,Southland,0.460881
2012-13,Atlantic Sun,0.46033
2012-13,Southern,0.442832
2012-13,Big Sky,0.439899
2012-13,MEAC,0.432419
2012-13,Big South,0.429643
2012-13,SWAC,0.411494
2012-13,Great West,0.409625
2012-13,Independents,0.400118
2013-14,Big 12,0.575894
2013-14,Big Ten,0.575732
2013-14,Pac-12,0.566869
2013-14,Big East,0.556742
2013-14,ACC,0.55628
2013-14,A-10,0.553792
2013-14,SEC,0.552704
2013-14,American,0.550303
2013-14,WCC,0.531867
2013-14,MWC,0.525812
2013-14,MVC,0.508767
2013-14,MAC,0.504688
2013-14,CUSA,0.496161
2013-14,Horizon,0.489094
2013-14,CAA,0.48821
2013-14,AAC,0.487398
2013-14,Ivy,0.485346
2013-14,Summit,0.484165
2013-14,Sun Belt,0.478107
2013-14,Patriot,0.472132
2013-14,Big West,0.467751
