player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,player_id,pos,last_uni_age,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,ratio_off,ratio_def
Anthony Davis,2011-12,Kentucky,SEC,40,40,1281,35.1,0.654,0.628,0.059,0.602,550.0,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,5.9,4.1,9.9,0.31,9.1,8.1,17.2,1,anthony-davis-5,PF,18,PF,7.9,229,216,2064,2096,2743,221.8,2273,1.08,0.88
Michael Kidd-Gilchrist,2011-12,Kentucky,SEC,40,39,1245,21.2,0.57,0.511,0.156,0.589,497.0,10.3,17.3,14.0,10.8,1.9,2.8,17.3,20.6,3.4,2.6,6.0,0.192,4.1,3.6,7.7,1,michael-kidd-gilchrist-1,SF,18,SF,7.0,229,260,1975,2019,2654,232.8,2134,0.98,0.96
Bradley Beal,2011-12,Florida,SEC,37,37,1267,22.0,0.575,0.525,0.473,0.44,522.0,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23.0,3.6,2.1,5.7,0.18,5.4,2.9,8.4,1,bradley-beal-1,SG,18,SG,6.0,216,229,1911,1949,2540,201.8,2032,0.93,0.86
Dion Waiters,2011-12,Syracuse,Big East,37,0,891,26.3,0.565,0.534,0.317,0.331,430.0,2.4,8.8,5.6,21.2,4.6,1.5,10.4,26.7,3.2,1.7,5.0,0.223,6.0,4.8,10.8,2,dion-waiters-1,SG,20,SG,8.5,216,241,1892,1930,2489,221.0,2013,0.79,0.73
Thomas Robinson,2011-12,Kansas,Big 12,39,39,1242,27.4,0.549,0.512,0.027,0.462,660.0,11.1,33.0,22.2,13.1,2.0,2.9,14.2,30.0,3.7,3.5,7.2,0.231,5.4,3.4,8.8,3,thomas-robinson-2,PF,20,PF,5.0,248,267,2026,2051,2692,244.2,2216,0.88,0.81
Damian Lillard,2011-12,Weber State,Big Sky,32,32,1105,34.0,0.635,0.562,0.465,0.519,746.0,1.9,15.8,9.0,27.1,2.5,0.7,10.7,33.0,6.7,1.4,8.0,0.291,9.1,0.7,9.8,4,damian-lillard-1,PG,21,PG,5.9,222,248,1873,1899,2426,188.8,2026,0.87,1.35
Harrison Barnes,2011-12,UNC,ACC,38,37,1111,21.2,0.528,0.487,0.263,0.374,571.0,6.9,11.9,9.4,7.2,2.0,1.1,10.8,28.1,3.1,1.9,5.0,0.181,4.5,2.3,6.8,2,harrison-barnes-1,SF,19,SF,9.6,229,216,2007,2032,2578,227.8,2115,1.02,1.22
Terrence Ross,2011-12,Washington,Pac-12,35,35,1088,22.3,0.558,0.534,0.413,0.2,504.0,4.7,19.2,11.6,9.2,2.3,3.0,12.0,25.3,3.0,1.8,4.9,0.178,5.1,2.8,7.9,2,terrence-ross-1,SF,20,SG,3.2,222,260,1981,2007,2553,196.6,2013,0.94,0.62
Andre Drummond,2011-12,UConn,Big East,34,30,967,21.9,0.509,0.538,0.007,0.301,328.0,14.2,17.0,15.6,3.4,1.8,9.9,13.5,20.9,1.4,1.5,2.9,0.121,2.0,2.9,4.9,1,andre-drummond-1,C,18,C,7.5,241,241,2076,2127,2781,278.6,2292,1.57,1.35
Austin Rivers,2011-12,Duke,ACC,34,33,1129,16.9,0.538,0.505,0.396,0.458,488.0,2.2,10.0,6.0,13.0,1.7,0.1,13.9,25.2,2.4,1.0,3.5,0.124,3.2,0.8,4.0,1,austin-rivers-1,PG,19,SG,6.2,216,254,1918,1956,2451,202.8,2013,0.95,1.42
