player_name,school_name,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,obpm,dbpm,pos,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,gs_pct,uni_off_score,uni_def_score,years,last_uni_age
Kyrie Irving,Duke,303.0,32.5,0.697,0.375,0.683,2.3,10.6,29.8,3.0,1.8,16.4,26.4,1.8,0.6,9.8,5.0,PG,10.20,210.0,235.0,1873.0,1918.0,2515.0,191.0,1930.0,0.73,3.54,1.62,1.0,19.0
Derrick Williams,Arizona,2016.0,29.7,0.66,0.136,0.85,10.9,21.0,7.7,1.6,2.3,14.7,27.9,9.2,3.0,9.6,2.5,PF,10.80,229.0,248.0,2013.0,2051.0,2743.0,248.4,2172.0,0.99,3.97,1.53,2.0,20.0
Tristan Thompson,Texas,1104.0,24.2,0.536,0.0,0.829,14.0,13.7,8.1,1.8,7.2,12.7,22.4,2.8,2.7,4.4,4.5,PF,6.20,222.0,235.0,2019.0,2051.0,2756.0,227.4,2165.0,0.94,3.15,2.06,1.0,19.0
Brandon Knight,Kentucky,1363.0,19.3,0.553,0.45,0.333,2.2,10.2,23.4,1.1,0.6,16.8,27.0,3.6,1.8,4.5,0.9,PG,4.20,210.0,241.0,1867.0,1911.0,2502.0,176.8,2000.0,1.0,2.75,0.62,1.0,19.0
Kemba Walker,UConn,3647.0,25.7,0.539,0.287,0.474,3.5,10.6,26.6,3.2,0.7,13.5,26.2,11.5,6.4,9.2,3.9,PG,5.90,203.0,229.0,1816.0,1854.0,2324.0,184.0,1918.0,0.69,3.52,1.93,3.0,21.0
Jimmer Fredette,BYU,4119.0,30.7,0.596,0.408,0.386,2.4,8.3,26.3,2.1,0.3,13.8,30.5,16.8,6.2,10.0,0.8,PG,7.70,203.0,216.0,1848.0,1892.0,2451.0,196.0,1943.0,0.73,4.13,1.15,4.0,22.0
Klay Thompson,Washington State,3367.0,23.6,0.55,0.438,0.27,3.3,13.8,20.3,2.6,2.7,15.3,31.9,7.9,5.5,6.8,3.0,SG,8.00,222.0,235.0,1975.0,2013.0,2629.0,205.6,2057.0,0.98,3.23,1.9,3.0,21.0
Alec Burks,Colorado,2100.0,27.8,0.592,0.175,0.579,8.8,13.7,17.0,2.1,1.2,12.6,30.0,9.2,1.6,8.0,0.0,SG,5.10,229.0,210.0,1956.0,1981.0,2629.0,192.6,2083.0,0.99,3.88,0.93,2.0,20.0
Markieff Morris,Kansas,2105.0,25.7,0.603,0.152,0.504,13.0,22.9,10.9,1.7,4.8,18.4,21.8,5.5,5.5,6.7,3.6,PF,10.20,216.0,210.0,2026.0,2064.0,2705.0,240.8,2102.0,0.39,2.99,2.21,3.0,21.0
Marcus Morris,Kansas,2611.0,27.5,0.601,0.134,0.514,12.1,16.7,10.2,1.9,1.8,13.1,24.5,9.4,5.8,8.0,2.9,SF,8.00,210.0,216.0,2007.0,2051.0,2680.0,229.6,2083.0,0.83,3.63,1.71,3.0,21.0
Kawhi Leonard,San Diego State,2236.0,25.0,0.513,0.195,0.312,12.6,25.0,14.4,2.7,2.2,13.7,26.0,6.1,5.7,5.3,3.9,SF,5.40,248.0,286.0,1981.0,2007.0,2692.0,227.4,2210.0,0.99,3.15,2.34,2.0,20.0
