player_name,school_name,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,obpm,dbpm,pos,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,years,last_uni_age,uni_off_score,uni_def_score,gs_pct
Cade Cunningham,Oklahoma State,956.0,21.6,0.574,0.388,0.39,2.3,16.3,20.4,2.5,2.3,18.7,29.1,2.3,1.7,5.1,3.2,PG,5.68,212.83,229.67,1872.17,1904.0,2495.5,188.27,1965.33,1.0,19.0,2.19,1.82,0.96
Evan Mobley,USC,1120.0,29.1,0.624,0.117,0.566,9.6,18.9,14.1,1.4,8.8,14.6,22.8,4.3,2.6,7.9,5.8,PF,7.33,231.57,240.57,2027.71,2058.43,2721.43,222.06,2138.14,1.0,19.0,3.02,2.46,1.0
Scottie Barnes,Florida State,595.0,21.4,0.548,0.205,0.338,7.4,11.1,31.6,3.4,2.1,20.7,23.7,1.5,1.0,4.3,3.6,SF,5.3,235.0,260.0,2007.0,2032.0,2743.0,225.4,2203.0,1.0,19.0,2.07,1.86,0.29
Jalen Suggs,Gonzaga,868.0,22.6,0.595,0.338,0.37,2.7,18.0,23.7,3.5,1.1,19.5,24.8,2.5,2.1,4.8,4.6,PG,5.68,212.83,229.67,1872.17,1904.0,2495.5,188.27,1965.33,1.0,19.0,2.1,2.39,1.0
Franz Wagner,Michigan,1718.0,19.5,0.577,0.459,0.261,3.2,18.3,11.8,2.3,2.5,11.7,19.7,4.0,3.4,4.4,5.0,SF,6.07,223.78,240.67,1986.78,2021.44,2655.67,206.91,2109.0,2.0,20.0,2.16,2.29,1.0
Davion Mitchell,Baylor,1963.0,17.6,0.565,0.435,0.254,1.4,8.3,25.0,3.0,1.3,18.1,19.5,4.7,3.8,3.5,3.9,PG,6.2,210.0,222.0,1829.0,1861.0,2451.0,202.4,1937.0,3.0,21.0,1.8,1.99,1.0
Ziaire Williams,Stanford,558.0,11.1,0.473,0.389,0.241,2.4,16.4,16.4,1.7,2.2,20.4,26.5,-0.2,0.9,-1.2,1.5,SF,4.4,229.0,222.0,2038.0,2076.0,2705.0,188.4,2089.0,1.0,19.0,1.15,1.18,0.7
James Bouknight,UConn,1200.0,21.2,0.554,0.296,0.367,6.2,12.8,12.0,1.9,0.9,13.6,27.8,3.3,1.9,4.9,1.6,SG,5.5,222.0,229.0,1918.0,1949.0,2578.0,190.0,2038.0,2.0,20.0,2.53,1.15,0.7
Joshua Primo,Alabama,674.0,13.2,0.565,0.579,0.226,4.7,10.5,6.5,1.4,1.3,16.0,17.6,1.0,1.1,1.6,2.1,SG,6.3,229.0,254.0,1930.0,1956.0,2604.0,189.0,2064.0,1.0,19.0,1.49,0.84,0.63
Chris Duarte,Oregon,1730.0,23.9,0.593,0.469,0.26,4.4,15.1,13.2,3.4,2.5,13.1,23.8,5.4,2.8,6.8,3.1,SG,5.9,220.0,233.36,1918.82,1950.55,2580.45,195.67,2065.0,2.0,20.0,2.5,2.27,1.0
Moses Moody,Arkansas,1082.0,20.4,0.568,0.42,0.482,6.3,11.8,8.2,1.6,2.0,9.9,22.3,3.4,1.8,5.2,2.3,SG,6.8,229.0,254.0,1943.0,1981.0,2667.0,210.6,2153.0,1.0,19.0,2.65,1.16,1.0
Corey Kispert,Gonzaga,3755.0,18.5,0.626,0.576,0.218,4.3,11.9,7.9,1.3,1.3,10.1,18.2,11.2,6.7,5.3,1.8,SF,6.8,222.0,254.0,1981.0,2013.0,2591.0,223.8,2007.0,4.0,22.0,2.83,1.67,0.79
Trey Murphy III,Virginia,739.0,20.9,0.67,0.628,0.215,2.8,11.7,8.2,1.8,1.8,8.3,18.4,2.5,0.9,6.0,2.4,SF,8.1,216.0,229.0,2019.0,2064.0,2680.0,206.0,2134.0,3.0,21.0,2.53,1.1,0.8
Tre Mann,Florida,1293.0,15.7,0.534,0.427,0.262,2.3,14.4,16.1,2.2,0.4,16.5,23.9,2.1,1.8,2.0,1.9,PG,4.1,203.0,229.0,1911.0,1937.0,2502.0,177.6,1930.0,2.0,20.0,1.72,1.33,0.53
Kai Jones,Texas,1044.0,17.7,0.618,0.265,0.438,8.9,14.4,4.9,2.0,5.3,18.2,15.8,2.0,2.0,2.3,4.0,PF,4.7,229.0,241.0,2083.0,2121.0,2807.0,221.4,2178.0,2.0,20.0,1.96,1.92,0.26
Jalen Johnson,Duke,278.0,25.7,0.575,0.165,0.349,8.3,25.2,20.5,3.1,6.0,20.6,28.6,0.6,0.5,4.3,4.2,PF,4.5,248.0,267.0,2026.0,2064.0,2692.0,209.6,2140.0,1.0,19.0,2.25,2.65,0.62
Keon Johnson,Tennessee,688.0,16.3,0.519,0.194,0.409,4.8,11.0,20.7,2.5,2.0,19.4,26.8,0.7,1.4,1.0,3.1,SG,4.4,216.0,229.0,1918.0,1949.0,2464.0,184.8,2013.0,1.0,19.0,1.86,1.51,0.63
Isaiah Jackson,Kentucky,519.0,25.3,0.587,0.015,0.657,11.2,23.3,7.4,2.1,12.7,17.5,20.5,1.2,1.2,2.3,6.0,C,7.7,230.2,246.4,2075.2,2103.2,2743.4,242.28,2199.6,1.0,19.0,2.42,3.04,0.72
Josh Christopher,Arizona State,446.0,17.8,0.529,0.335,0.313,2.4,16.1,9.8,2.7,1.9,11.4,25.5,0.6,0.5,2.4,1.8,SG,5.8,222.0,216.0,1911.0,1943.0,2565.0,214.8,2064.0,1.0,19.0,1.99,1.5,1.0
Quentin Grimes,Houston,1822.0,20.4,0.551,0.529,0.303,4.1,13.1,15.4,2.2,1.0,13.3,25.5,5.4,3.9,5.4,2.4,SG,6.6,216.0,254.0,1930.0,1962.0,2565.0,205.0,2032.0,3.0,21.0,2.43,1.69,0.85
Bones Hyland,VCU,1404.0,21.1,0.588,0.58,0.233,1.2,13.8,17.4,3.0,1.1,14.8,27.4,3.5,2.9,4.8,2.4,SG,5.8,222.0,229.0,1880.0,1918.0,2578.0,169.0,2064.0,2.0,20.0,2.26,1.89,0.6
Cameron Thomas,LSU,986.0,24.0,0.553,0.418,0.44,2.0,8.2,8.3,1.4,0.7,7.5,31.6,4.0,0.5,7.1,-0.8,SG,5.9,220.0,233.36,1918.82,1950.55,2580.45,195.67,2065.0,1.0,19.0,2.93,0.26,1.0
Jaden Springer,Tennessee,648.0,20.9,0.57,0.203,0.441,4.6,10.9,24.1,2.7,2.0,17.9,26.0,1.6,1.3,3.6,3.3,SG,6.3,216.0,248.0,1905.0,1937.0,2515.0,202.0,2026.0,1.0,19.0,2.28,1.57,0.6
Day'Ron Sharpe,UNC,556.0,25.4,0.521,0.009,0.468,18.1,23.8,15.4,2.3,5.1,17.8,26.3,1.1,1.2,4.3,3.2,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,2.73,2.21,0.14
