uni_url,player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,bpm-dum,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/anthony-davis-5.html,Anthony Davis,2011-12,Kentucky,SEC,40,40,1281,35.1,.654,.628,.059,.602,550,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,,5.9,4.1,9.9,.310,,9.1,8.1,17.2
https://www.sports-reference.com/cbb/players/michael-kidd-gilchrist-1.html,Michael Kidd-Gilchrist,2011-12,Kentucky,SEC,40,39,1245,21.2,.570,.511,.156,.589,497,10.3,17.3,14.0,10.8,1.9,2.8,17.3,20.6,,3.4,2.6,6.0,.192,,4.1,3.6,7.7
https://www.sports-reference.com/cbb/players/bradley-beal-1.html,Bradley Beal,2011-12,Florida,SEC,37,37,1267,22.0,.575,.525,.473,.440,522,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23.0,,3.6,2.1,5.7,.180,,5.4,2.9,8.4
https://www.sports-reference.com/cbb/players/dion-waiters-1.html,Dion Waiters,2010-11,Syracuse,Big East,34,0,554,18.5,.524,.484,.447,.253,211,2.6,7.9,5.4,17.3,4.2,0.8,12.4,22.4,,1.2,1.0,2.2,.157,,1.7,4.2,5.9
https://www.sports-reference.com/cbb/players/dion-waiters-1.html,Dion Waiters,2011-12,Syracuse,Big East,37,0,891,26.3,.565,.534,.317,.331,430,2.4,8.8,5.6,21.2,4.6,1.5,10.4,26.7,,3.2,1.7,5.0,.223,,6.0,4.8,10.8
https://www.sports-reference.com/cbb/players/thomas-robinson-2.html,Thomas Robinson,2009-10,Kansas,Big 12,33,1,236,16.2,.469,.485,.000,.632,90,17.1,22.9,20.3,6.7,1.7,7.6,22.7,23.5,,0.1,0.6,0.7,.118,,,,
https://www.sports-reference.com/cbb/players/thomas-robinson-2.html,Thomas Robinson,2010-11,Kansas,Big 12,33,2,482,27.5,.588,.601,.000,.571,245,19.1,30.7,25.3,8.0,1.7,4.9,16.8,26.1,,1.4,1.3,2.8,.229,,3.7,2.6,6.2
https://www.sports-reference.com/cbb/players/thomas-robinson-2.html,Thomas Robinson,2011-12,Kansas,Big 12,39,39,1242,27.4,.549,.512,.027,.462,660,11.1,33.0,22.2,13.1,2.0,2.9,14.2,30.0,,3.7,3.5,7.2,.231,,5.4,3.4,8.8
https://www.sports-reference.com/cbb/players/damian-lillard-1.html,Damian Lillard,2008-09,Weber State,Big Sky,31,26,911,,.569,.524,.478,.299,,,,8.3,21.3,,0.6,18.3,22.8,,2.0,0.6,2.6,.115,,,,
https://www.sports-reference.com/cbb/players/damian-lillard-1.html,Damian Lillard,2009-10,Weber State,Big Sky,31,31,1062,24.8,.594,.529,.499,.445,581,1.2,12.8,6.9,23.3,1.9,0.4,12.5,28.0,,4.4,1.0,5.4,.202,,,,
https://www.sports-reference.com/cbb/players/damian-lillard-1.html,Damian Lillard,2010-11,Weber State,Big Sky,10,9,285,28.1,.609,.522,.491,.625,172,2.7,13.2,8.1,27.3,3.0,0.8,16.2,32.5,,1.2,0.4,1.6,.220,,6.0,0.9,6.9
https://www.sports-reference.com/cbb/players/damian-lillard-1.html,Damian Lillard,2011-12,Weber State,Big Sky,32,32,1105,34.0,.635,.562,.465,.519,746,1.9,15.8,9.0,27.1,2.5,0.7,10.7,33.0,,6.7,1.4,8.0,.291,,9.1,0.7,9.8
https://www.sports-reference.com/cbb/players/harrison-barnes-1.html,Harrison Barnes,2010-11,UNC,ACC,37,36,1087,19.4,.520,.488,.392,.249,524,7.2,12.8,10.1,9.5,1.4,1.4,11.5,26.6,,2.5,1.8,4.3,.159,,5.0,2.3,7.3
https://www.sports-reference.com/cbb/players/harrison-barnes-1.html,Harrison Barnes,2011-12,UNC,ACC,38,37,1111,21.2,.528,.487,.263,.374,571,6.9,11.9,9.4,7.2,2.0,1.1,10.8,28.1,,3.1,1.9,5.0,.181,,4.5,2.3,6.8
https://www.sports-reference.com/cbb/players/terrence-ross-1.html,Terrence Ross,2010-11,Washington,Pac-10,34,4,593,18.8,.556,.539,.543,.143,244,5.3,12.3,8.8,9.6,1.8,2.0,8.9,21.2,,1.7,0.9,2.5,.171,,4.4,2.3,6.7
