player,pick rank,year,college,url,height (cm),weight (lb),uni_url,player_id
Kyrie Irving,1,2011,Duke,https://www.basketball-reference.com//players/i/irvinky01.html,188.0,195,https://www.sports-reference.com/cbb/players/kyrie-irving-1.html,kyrie-irving-1
Derrick Williams,2,2011,Arizona,https://www.basketball-reference.com//players/w/willide02.html,203.2,240,https://www.sports-reference.com/cbb/players/derrick-williams-2.html,derrick-williams-2
Enes Kanter,3,2011,,https://www.basketball-reference.com//players/k/kanteen01.html,208.3,250,,
Tristan Thompson,4,2011,Texas,https://www.basketball-reference.com//players/t/thomptr01.html,205.7,254,https://www.sports-reference.com/cbb/players/tristan-thompson-2.html,tristan-thompson-2
Jonas Valančiūnas,5,2011,,https://www.basketball-reference.com//players/v/valanjo01.html,210.8,265,,
Jan Veselý,6,2011,,https://www.basketball-reference.com//players/v/veselja01.html,210.8,240,,
Bismack Biyombo,7,2011,,https://www.basketball-reference.com//players/b/biyombi01.html,203.2,255,,
Brandon Knight,8,2011,Kentucky,https://www.basketball-reference.com//players/k/knighbr03.html,188.0,182,https://www.sports-reference.com/cbb/players/brandon-knight-1.html,brandon-knight-1
Kemba Walker,9,2011,UConn,https://www.basketball-reference.com//players/w/walkeke02.html,182.9,184,https://www.sports-reference.com/cbb/players/kemba-walker-1.html,kemba-walker-1
Jimmer Fredette,10,2011,BYU,https://www.basketball-reference.com//players/f/fredeji01.html,188.0,195,https://www.sports-reference.com/cbb/players/jimmer-fredette-1.html,jimmer-fredette-1
Klay Thompson,11,2011,Washington State,https://www.basketball-reference.com//players/t/thompkl01.html,198.1,215,https://www.sports-reference.com/cbb/players/klay-thompson-1.html,klay-thompson-1
Alec Burks,12,2011,Colorado,https://www.basketball-reference.com//players/b/burksal01.html,198.1,214,https://www.sports-reference.com/cbb/players/alec-burks-1.html,alec-burks-1
Markieff Morris,13,2011,Kansas,https://www.basketball-reference.com//players/m/morrima02.html,205.7,245,https://www.sports-reference.com/cbb/players/markieff-morris-1.html,markieff-morris-1
Marcus Morris,14,2011,Kansas,https://www.basketball-reference.com//players/m/morrima03.html,203.2,218,https://www.sports-reference.com/cbb/players/marcus-morris-1.html,marcus-morris-1
