player,pick rank,year,college,url,height (cm),weight (lb),uni_url
Cade Cunningham,1,2021,Oklahoma State,https://www.basketball-reference.com//players/c/cunnica01.html,203.2,220,https://www.sports-reference.com/cbb/players/cade-cunningham-1.html
Jalen Green,2,2021,,https://www.basketball-reference.com//players/g/greenja05.html,198.1,178,
Evan Mobley,3,2021,USC,https://www.basketball-reference.com//players/m/mobleev01.html,213.4,215,https://www.sports-reference.com/cbb/players/evan-mobley-1.html
Scottie Barnes,4,2021,Florida State,https://www.basketball-reference.com//players/b/barnesc01.html,205.7,227,https://www.sports-reference.com/cbb/players/scottie-barnes-1.html
Jalen Suggs,5,2021,Gonzaga,https://www.basketball-reference.com//players/s/suggsja01.html,193.0,205,https://www.sports-reference.com/cbb/players/jalen-suggs-1.html
Josh Giddey,6,2021,,https://www.basketball-reference.com//players/g/giddejo01.html,203.2,210,
Jonathan Kuminga,7,2021,,https://www.basketball-reference.com//players/k/kuminjo01.html,203.2,210,
Franz Wagner,8,2021,Michigan,https://www.basketball-reference.com//players/w/wagnefr01.html,205.7,225,https://www.sports-reference.com/cbb/players/franz-wagner-1.html
Davion Mitchell,9,2021,Baylor,https://www.basketball-reference.com//players/m/mitchda01.html,188.0,205,https://www.sports-reference.com/cbb/players/davion-mitchell-1.html
Ziaire Williams,10,2021,Stanford,https://www.basketball-reference.com//players/w/willizi02.html,203.2,215,https://www.sports-reference.com/cbb/players/ziaire-williams-1.html
James Bouknight,11,2021,UConn,https://www.basketball-reference.com//players/b/bouknja01.html,195.6,190,https://www.sports-reference.com/cbb/players/james-bouknight-1.html
Joshua Primo,12,2021,Alabama,https://www.basketball-reference.com//players/p/primojo01.html,198.1,190,https://www.sports-reference.com/cbb/players/joshua-primo-1.html
Chris Duarte,13,2021,Oregon,https://www.basketball-reference.com//players/d/duartch01.html,198.1,190,https://www.sports-reference.com/cbb/players/chris-duarte-1.html
Moses Moody,14,2021,Arkansas,https://www.basketball-reference.com//players/m/moodymo01.html,198.1,205,https://www.sports-reference.com/cbb/players/moses-moody-1.html
