position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,player_id
PF,7.9,229,216,2064,2096,2743,221.8,2273,anthony-davis-5
SF,7.0,229,260,1975,2019,2654,232.8,2134,michael-kidd-gilchrist-1
SG,6.0,216,229,1911,1949,2540,201.8,2032,bradley-beal-1
SG,8.5,216,241,1892,1930,2489,221.0,2013,dion-waiters-1
PF,5.0,248,267,2026,2051,2692,244.2,2216,thomas-robinson-2
PG,5.9,222,248,1873,1899,2426,188.8,2026,damian-lillard-1
SF,9.6,229,216,2007,2032,2578,227.8,2115,harrison-barnes-1
SG,3.2,222,260,1981,2007,2553,196.6,2013,terrence-ross-1
C,7.5,241,241,2076,2127,2781,278.6,2292,andre-drummond-1
SG,6.2,216,254,1918,1956,2451,202.8,2013,austin-rivers-1
C,5.7,235,279,2127,2165,2743,249.8,2210,meyers-leonard-1
SG,4.5,222,235,1930,1962,2591,179.2,2108,jeremy-lamb-1
PG,7.8,216,229,1911,1937,2438,198.4,1968,kendall-marshall-1
PF,8.6,235,254,2057,2096,2845,216.0,2261,john-henson-1
SF,5.3,235,260,2013,2051,2604,206.6,2134,maurice-harkless-1
PF,10.6,241,292,2007,2032,2654,260.6,2134,royce-white-1
PF,6.4,229,248,2115,2146,2654,247.4,2134,tyler-zeller-1
PF,7.7,229,254,2038,2070,2718,252.0,2191,terrence-jones-1
PF,7.6,254,273,2045,2070,2718,234.0,2235,andrew-nicholson-1
PF,10.7,235,248,2026,2057,2680,268.2,2165,jared-sullinger-1
C,9.2,229,254,2102,2134,2794,255.0,2197,fab-melo-1
SG,7.1,229,229,1911,1937,2489,212.0,2045,john-jenkins-1
SG,3.6,210,229,1918,1956,2489,187.6,1994,jared-cunningham-2
PG,5.2,203,229,1949,1981,2565,203.2,2057,tony-wroten-1
PF,11.4,235,229,2096,2127,2680,252.4,2153,miles-plumlee-1
PF,7.7,235,235,2070,2102,2705,232.8,2191,arnett-moultrie-1
PF,4.6,235,241,2089,2115,2718,233.8,2178,perry-jones-1
PG,6.3,210,197,1854,1880,2451,179.8,2013,marquis-teague-1
C,5.5,229,273,2076,2121,2743,264.2,2280,festus-ezeli-1
SF,4.2,210,248,1981,2013,2578,212.8,1988,jeffery-taylor-1
PF,5.0,229,235,2051,2083,2756,229.8,2210,bernard-james--1
SF,9.0,241,267,1949,1994,2527,241.2,2064,jae-crowder-1
PF,11.3,229,241,1975,2019,2667,235.6,2165,draymond-green-1
SG,7.0,229,241,1924,1962,2515,223.8,2115,orlando-johnson-1
PF,7.1,241,279,1994,2026,2705,223.8,2203,quincy-acy-1
SF,7.8,235,260,2051,2083,2667,218.7,2165,quincy-miller-1
SF,7.8,229,229,2000,2038,2616,216.2,2102,khris-middleton-1
SG,4.1,229,241,1956,1981,2604,174.4,2076,will-barton-1
PG,4.2,222,222,1899,1930,2477,177.0,1988,tyshawn-taylor-1
SG,6.7,216,222,1911,1949,2502,199.4,2000,doron-lamb-1
PF,10.6,216,229,2013,2051,2642,240.8,2102,mike-scott-4
SG,4.3,216,222,1943,1975,2489,192.0,1994,kim-english-1
SF,7.5,216,222,1981,2019,2565,233.4,2057,darius-miller-1
SG,5.8,216,216,1956,1988,2515,194.0,2000,kevin-murphy-1
PF,8.0,241,254,2045,2083,2705,240.8,2254,kyle-oquinn-1
SG,8.6,229,229,1981,2007,2642,215.0,2108,kris-joseph-1
SG,7.0,222,222,1867,1905,2438,212.0,2007,darius-johnson-odom-1
SF,9.4,216,241,2013,2045,2591,218.0,2045,robbie-hummel-1
SG,6.6,210,248,1886,1911,2400,188.2,1956,marcus-denmon-1
SG,6.55,222,235,1911,1937,2553,213.2,2064,victor-oladipo-1
SF,6.65,222,235,2019,2045,2680,197.6,2172,otto-porter-1
C,4.75,216,267,2102,2140,2692,230.0,2102,cody-zeller-1
C,4.15,241,254,2083,2127,2794,206.4,2229,nerlens-noel-1
SG,5.0,222,241,1918,1949,2553,189.2,2026,ben-mclemore-1
SG,6.45,216,229,1943,1968,2553,203.6,2032,kentavious-caldwell-pope-1
PG,6.9,210,222,1822,1861,2477,187.0,1968,trey-burke-1
PG,4.4,191,216,1949,1975,2565,184.4,2013,michael-carter-williams-1
C,6.65,241,279,2102,2134,2781,254.5,2248,steven-adams-1
PF,6.65,216,254,2102,2134,2743,234.0,2076,kelly-olynyk-1
SF,9.0,229,254,1949,1988,2654,221.8,2108,shabazz-muhammad-1
PG,3.8,191,222,1784,1816,2273,170.8,1797,shane-larkin-1
SF,4.85,229,241,1981,2013,2680,198.2,2121,tony-snell-1
C,5.35,229,254,2076,2102,2832,229.6,2222,gorgui-dieng-1
C,6.15,248,241,2115,2146,2743,238.2,2108,mason-plumlee-1
SF,7.6,229,267,1968,2007,2616,226.0,2057,solomon-hill-1
SG,6.05,203,235,1943,1988,2565,199.4,2007,tim-hardaway-jr-1
SG,6.95,216,229,1975,2007,2591,199.8,2051,reggie-bullock-2
PF,7.05,222,241,1988,2007,2654,205.8,2108,andre-roberson-1
SG,4.55,216,229,1924,1962,2591,189.0,2070,archie-goodwin-1
SG,4.65,210,216,1962,1988,2629,197.4,2115,allen-crabbe-1
SF,3.3,216,241,1949,1988,2629,202.6,2064,carrick-felix-1
PG,5.9,210,241,1803,1829,2400,188.4,1943,isaiah-canaan-1
PG,7.3,203,222,1835,1873,2451,191.4,1911,ray-mccallum-2
SG,5.7,216,254,1962,1988,2540,216.4,2083,tony-mitchell-4
PG,5.5,210,222,1918,1949,2489,196.4,1924,nate-wolters-1
C,8.65,229,248,2102,2146,2807,221.8,2184,jeff-withey-1
PF,10.05,216,235,2051,2089,2769,232.0,2184,grant-jerrett-1
SG,8.25,216,210,1930,1962,2629,190.8,2115,jamaal-franklin-1
PG,4.5,191,210,1765,1791,2286,176.0,1778,pierre-jackson-1
C,6.8,216,229,2089,2121,2743,230.2,2159,mike-muscala-1
PG,4.35,216,229,1867,1905,2489,178.2,1975,erick-green-1
PF,14.75,229,254,2076,2127,2794,228.0,2121,ryan-kelly-3
PF,7.95,222,248,2051,2070,2743,239.8,2096,erik-murphy-1
SF,4.5,216,222,1975,2007,2654,200.8,2121,james-ennis-1
PG,3.95,210,216,1930,1962,2540,189.2,2007,lorenzo-brown-1
C,9.6,235,241,2096,2134,2794,262.8,2184,colton-iverson-1
PG,6.05,203,248,1816,1854,2362,180.6,1905,peyton-siva-1
SF,9.1,203,222,1956,2007,2642,219.8,2083,deshaun-thomas-1
PF,5.05,222,267,2019,2051,2667,220.1,2127,aaron-gordon-1
