,year,PLAYER_NAME,POSITION,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
0,2012-13,Quincy Acy,PF,7.10%,9.50,11.00,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75''
1,2012-13,Harrison Barnes,SF-SG,9.60%,9.00,8.50,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25''
2,2012-13,Will Barton,SG-SF,4.10%,9.00,9.50,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75''
3,2012-13,Bradley Beal,SG,6.00%,8.50,9.00,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8''
4,2012-13,J'Covan Brown,PG,12.50%,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25''
5,2012-13,William Buford,SG-SF,11.30%,8.75,10.00,6' 4'',6' 5'',8' 6'',214.6,6' 9.5''
6,2012-13,Jae Crowder,SF,9.00%,9.50,10.50,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25''
7,2012-13,Jared Cunningham,SG-PG,3.60%,8.25,9.00,6' 3.5'',6' 5'',8' 2'',187.6,6' 6.5''
8,2012-13,Anthony Davis,PF-C,7.90%,9.00,8.50,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5''
9,2012-13,Marcus Denmon,SG,6.60%,8.25,9.75,6' 2.25'',6' 3.25'',7' 10.5'',188.2,6' 5''
10,2012-13,Andre Drummond,C,7.50%,9.50,9.50,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25''
11,2012-13,Kim English,SG,4.30%,8.50,8.75,6' 4.5'',6' 5.75'',8' 2'',192.0,6' 6.5''
12,2012-13,Festus Ezeli,C-PF,5.50%,9.00,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75''
13,2012-13,Drew Gordon,PF,9.10%,8.50,9.75,6' 8'',6' 8.75'',8' 7.5'',239.0,6' 11.5''
14,2012-13,JaMychal Green,PF,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25''
15,2012-13,Draymond Green,PF-SF,11.30%,9.00,9.50,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25''
16,2012-13,Maurice Harkless,SF,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0''
17,2012-13,John Henson,PF,8.60%,9.25,10.00,6' 9'',6' 10.5'',9' 4'',216.0,7' 5''
18,2012-13,Tu Holloway,PG,8.50%,8.75,10.00,5' 10.5'',5' 11.75'',7' 10.5'',186.8,6' 5.5''
