player_id,player_name,pos,off_score,def_score,uni_off_score,uni_def_score,ratio_off,ratio_def
anthony-davis-5,Anthony Davis,PF,3.96,3.34,3.68,3.79,1.076086956521739,0.8812664907651715
michael-kidd-gilchrist-1,Michael Kidd-Gilchrist,SF,2.68,1.89,2.73,1.96,0.9816849816849818,0.9642857142857143
bradley-beal-1,Bradley Beal,SG,2.73,1.71,2.93,1.99,0.931740614334471,0.8592964824120602
dion-waiters-1,Dion Waiters,SG,2.36,1.49,2.97,2.04,0.7946127946127945,0.7303921568627451
thomas-robinson-2,Thomas Robinson,PF,2.68,2.17,3.03,2.67,0.8844884488448846,0.8127340823970037
damian-lillard-1,Damian Lillard,PG,3.7,1.87,4.23,1.39,0.8747044917257683,1.3453237410071943
harrison-barnes-1,Harrison Barnes,SF,2.85,1.74,2.8,1.43,1.017857142857143,1.2167832167832169
terrence-ross-1,Terrence Ross,SF,2.53,1.15,2.7,1.86,0.9370370370370369,0.618279569892473
andre-drummond-1,Andre Drummond,C,3.4,2.81,2.16,2.08,1.574074074074074,1.3509615384615385
austin-rivers-1,Austin Rivers,"PG,SG",2.41,1.28,2.55,0.9,0.9450980392156864,1.4222222222222223
meyers-leonard-1,Meyers Leonard,C,2.74,1.57,2.69,2.09,1.0185873605947957,0.7511961722488039
jeremy-lamb-1,Jeremy Lamb,SG,2.66,1.59,2.93,1.33,0.9078498293515358,1.1954887218045114
kendall-marshall-1,Kendall Marshall,PG,2.35,1.4,2.01,1.27,1.1691542288557215,1.1023622047244093
john-henson-1,John Henson,C,2.76,2.87,2.42,2.67,1.140495867768595,1.0749063670411985
maurice-harkless-1,Maurice Harkless,SF,2.2,1.63,2.3,1.79,0.9565217391304349,0.9106145251396647
tyler-zeller-1,Tyler Zeller,C,3.18,1.64,3.38,2.22,0.9408284023668639,0.7387387387387386
terrence-jones-1,Terrence Jones,PF,2.9,1.95,2.76,2.46,1.0507246376811594,0.7926829268292683
andrew-nicholson-1,Andrew Nicholson,PF,2.33,0.99,3.38,2.05,0.6893491124260356,0.4829268292682927
jared-sullinger-1,Jared Sullinger,PF,3.16,1.88,3.47,2.52,0.9106628242074928,0.7460317460317459
john-jenkins-1,John Jenkins,SG,2.68,1.21,3.69,0.97,0.7262872628726288,1.2474226804123711
