player,pick rank,year,college,url,height (cm),weight (lb),uni_url,player_id
Anthony Davis,1,2012,Kentucky,https://www.basketball-reference.com//players/d/davisan02.html,208.3,253,https://www.sports-reference.com/cbb/players/anthony-davis-5.html,anthony-davis-5
Michael Kidd-Gilchrist,2,2012,Kentucky,https://www.basketball-reference.com//players/k/kiddgmi01.html,198.1,232,https://www.sports-reference.com/cbb/players/michael-kidd-gilchrist-1.html,michael-kidd-gilchrist-1
Bradley Beal,3,2012,Florida,https://www.basketball-reference.com//players/b/bealbr01.html,190.5,207,https://www.sports-reference.com/cbb/players/bradley-beal-1.html,bradley-beal-1
Dion Waiters,4,2012,Syracuse,https://www.basketball-reference.com//players/w/waitedi01.html,190.5,215,https://www.sports-reference.com/cbb/players/dion-waiters-1.html,dion-waiters-1
Thomas Robinson,5,2012,Kansas,https://www.basketball-reference.com//players/r/robinth01.html,208.3,237,https://www.sports-reference.com/cbb/players/thomas-robinson-2.html,thomas-robinson-2
Damian Lillard,6,2012,Weber State,https://www.basketball-reference.com//players/l/lillada01.html,188.0,195,https://www.sports-reference.com/cbb/players/damian-lillard-1.html,damian-lillard-1
Harrison Barnes,7,2012,UNC,https://www.basketball-reference.com//players/b/barneha02.html,203.2,225,https://www.sports-reference.com/cbb/players/harrison-barnes-1.html,harrison-barnes-1
Terrence Ross,8,2012,Washington,https://www.basketball-reference.com//players/r/rosste01.html,198.1,206,https://www.sports-reference.com/cbb/players/terrence-ross-1.html,terrence-ross-1
Andre Drummond,9,2012,UConn,https://www.basketball-reference.com//players/d/drumman01.html,208.3,279,https://www.sports-reference.com/cbb/players/andre-drummond-1.html,andre-drummond-1
Austin Rivers,10,2012,Duke,https://www.basketball-reference.com//players/r/riverau01.html,193.0,200,https://www.sports-reference.com/cbb/players/austin-rivers-1.html,austin-rivers-1
Meyers Leonard,11,2012,Illinois,https://www.basketball-reference.com//players/l/leoname01.html,213.4,260,https://www.sports-reference.com/cbb/players/meyers-leonard-1.html,meyers-leonard-1
Jeremy Lamb,12,2012,UConn,https://www.basketball-reference.com//players/l/lambje01.html,195.6,180,https://www.sports-reference.com/cbb/players/jeremy-lamb-1.html,jeremy-lamb-1
Kendall Marshall,13,2012,UNC,https://www.basketball-reference.com//players/m/marshke01.html,193.0,200,https://www.sports-reference.com/cbb/players/kendall-marshall-1.html,kendall-marshall-1
John Henson,14,2012,UNC,https://www.basketball-reference.com//players/h/hensojo01.html,205.7,219,https://www.sports-reference.com/cbb/players/john-henson-1.html,john-henson-1
Maurice Harkless,15,2012,St. John's,https://www.basketball-reference.com//players/h/harklma01.html,200.7,220,https://www.sports-reference.com/cbb/players/maurice-harkless-1.html,maurice-harkless-1
Royce White,16,2012,Iowa State,https://www.basketball-reference.com//players/w/whitero03.html,203.2,270,https://www.sports-reference.com/cbb/players/royce-white-1.html,royce-white-1
Tyler Zeller,17,2012,UNC,https://www.basketball-reference.com//players/z/zellety01.html,213.4,253,https://www.sports-reference.com/cbb/players/tyler-zeller-1.html,tyler-zeller-1
Terrence Jones,18,2012,Kentucky,https://www.basketball-reference.com//players/j/joneste01.html,205.7,252,https://www.sports-reference.com/cbb/players/terrence-jones-1.html,terrence-jones-1
Andrew Nicholson,19,2012,St. Bonaventure,https://www.basketball-reference.com//players/n/nichoan01.html,205.7,250,https://www.sports-reference.com/cbb/players/andrew-nicholson-1.html,andrew-nicholson-1
Evan Fournier,20,2012,,https://www.basketball-reference.com//players/f/fournev01.html,200.7,205,,
Jared Sullinger,21,2012,Ohio State,https://www.basketball-reference.com//players/s/sullija01.html,205.7,260,https://www.sports-reference.com/cbb/players/jared-sullinger-1.html,jared-sullinger-1
Fab Melo,22,2012,Syracuse,https://www.basketball-reference.com//players/m/melofa01.html,213.4,255,https://www.sports-reference.com/cbb/players/fab-melo-1.html,fab-melo-1
John Jenkins,23,2012,Vanderbilt,https://www.basketball-reference.com//players/j/jenkijo01.html,193.0,215,https://www.sports-reference.com/cbb/players/john-jenkins-1.html,john-jenkins-1
Jared Cunningham,24,2012,Oregon State,https://www.basketball-reference.com//players/c/cunnija01.html,193.0,195,https://www.sports-reference.com/cbb/players/jared-cunningham-2.html,jared-cunningham-2
Tony Wroten,25,2012,Washington,https://www.basketball-reference.com//players/w/wroteto01.html,198.1,205,https://www.sports-reference.com/cbb/players/tony-wroten-1.html,tony-wroten-1
Miles Plumlee,26,2012,Duke,https://www.basketball-reference.com//players/p/plumlmi01.html,210.8,249,https://www.sports-reference.com/cbb/players/miles-plumlee-1.html,miles-plumlee-1
Arnett Moultrie,27,2012,Mississippi State,https://www.basketball-reference.com//players/m/moultar01.html,210.8,249,https://www.sports-reference.com/cbb/players/arnett-moultrie-1.html,arnett-moultrie-1
Perry Jones,28,2012,Baylor,https://www.basketball-reference.com//players/j/jonespe01.html,210.8,235,https://www.sports-reference.com/cbb/players/perry-jones-1.html,perry-jones-1
Marquis Teague,29,2012,Kentucky,https://www.basketball-reference.com//players/t/teaguma01.html,188.0,189,https://www.sports-reference.com/cbb/players/marquis-teague-1.html,marquis-teague-1
Festus Ezeli,30,2012,Vanderbilt,https://www.basketball-reference.com//players/e/ezelife01.html,210.8,255,https://www.sports-reference.com/cbb/players/festus-ezeli-1.html,festus-ezeli-1
Jeff Taylor,31,2012,Vanderbilt,https://www.basketball-reference.com//players/t/tayloje03.html,200.7,225,https://www.sports-reference.com/cbb/players/jeffery-taylor-1.html,jeffery-taylor-1
