,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,obpm,dbpm,years,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,3rd_NBA_season
0,1281,35.1,0.654,0.628,0.059,0.602,11.6,25.6,7.5,2.5,13.7,8.6,18.8,5.9,4.1,9.1,8.1,1,PF,7.9,229,216,2064,2096,2743,221.8,2273,1
1,1245,21.2,0.57,0.511,0.156,0.589,10.3,17.3,10.8,1.9,2.8,17.3,20.6,3.4,2.6,4.1,3.6,1,SF,7.0,229,260,1975,2019,2654,232.8,2134,1
2,1267,22.0,0.575,0.525,0.473,0.44,4.8,20.3,12.7,2.5,2.6,14.3,23.0,3.6,2.1,5.4,2.9,1,SG,6.0,216,229,1911,1949,2540,201.8,2032,1
3,891,26.3,0.565,0.534,0.317,0.331,2.4,8.8,21.2,4.6,1.5,10.4,26.7,3.2,1.7,6.0,4.8,2,SG,8.5,216,241,1892,1930,2489,221.0,2013,1
4,1242,27.4,0.549,0.512,0.027,0.462,11.1,33.0,13.1,2.0,2.9,14.2,30.0,3.7,3.5,5.4,3.4,3,PF,5.0,248,267,2026,2051,2692,244.2,2216,1
5,1105,34.0,0.635,0.562,0.465,0.519,1.9,15.8,27.1,2.5,0.7,10.7,33.0,6.7,1.4,9.1,0.7,4,PG,5.9,222,248,1873,1899,2426,188.8,2026,1
6,1111,21.2,0.528,0.487,0.263,0.374,6.9,11.9,7.2,2.0,1.1,10.8,28.1,3.1,1.9,4.5,2.3,2,SF,9.6,229,216,2007,2032,2578,227.8,2115,1
7,1088,22.3,0.558,0.534,0.413,0.2,4.7,19.2,9.2,2.3,3.0,12.0,25.3,3.0,1.8,5.1,2.8,2,SG,3.2,222,260,1981,2007,2553,196.6,2013,1
8,967,21.9,0.509,0.538,0.007,0.301,14.2,17.0,3.4,1.8,9.9,13.5,20.9,1.4,1.5,2.0,2.9,1,C,7.5,241,241,2076,2127,2781,278.6,2292,1
9,1129,16.9,0.538,0.505,0.396,0.458,2.2,10.0,13.0,1.7,0.1,13.9,25.2,2.4,1.0,3.2,0.8,1,SG,6.2,216,254,1918,1956,2451,202.8,2013,1
