player_id,name,season,school_name,g,gs,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,obpm,dbpm,bpm,uni_url
kyrie-irving-1,Kyrie Irving,2010-2011,Duke,11,8,303,32.5,.697,.375,.683,2.3,10.6,6.7,29.8,3.0,1.8,16.4,26.4,1.8,0.6,2.4,9.8,5.0,14.8,https://www.sports-reference.com/cbb/players/kyrie-irving-1.html
derrick-williams-2,Derrick Williams,2010-2011,Arizona,69,68,2016,29.7,.660,.136,.850,10.9,21.0,16.1,7.7,1.6,2.3,14.7,27.9,9.2,3.0,12.2,9.6,2.5,12.1,https://www.sports-reference.com/cbb/players/derrick-williams-2.html
tristan-thompson-2,Tristan Thompson,2010-2011,Texas,36,34,1104,24.2,.536,.000,.829,14.0,13.7,13.8,8.1,1.8,7.2,12.7,22.4,2.8,2.7,5.5,4.4,4.5,8.9,https://www.sports-reference.com/cbb/players/tristan-thompson-2.html
brandon-knight-1,Brandon Knight,2010-2011,Kentucky,38,38,1363,19.3,.553,.450,.333,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27.0,3.6,1.8,5.3,4.5,0.9,5.5,https://www.sports-reference.com/cbb/players/brandon-knight-1.html
kemba-walker-1,Kemba Walker,2010-2011,UConn,111,77,3647,25.7,.539,.287,.474,3.5,10.6,7.3,26.6,3.2,0.7,13.5,26.2,11.5,6.4,17.9,9.2,3.9,13.1,https://www.sports-reference.com/cbb/players/kemba-walker-1.html
jimmer-fredette-1,Jimmer Fredette,2010-2011,BYU,139,102,4119,30.7,.596,.408,.386,2.4,8.3,5.0,26.3,2.1,0.3,13.8,30.5,16.8,6.2,23.0,10.0,0.8,10.8,https://www.sports-reference.com/cbb/players/jimmer-fredette-1.html
klay-thompson-1,Klay Thompson,2010-2011,Washington State,98,96,3367,23.6,.550,.438,.270,3.3,13.8,8.7,20.3,2.6,2.7,15.3,31.9,7.9,5.5,13.4,6.8,3.0,9.8,https://www.sports-reference.com/cbb/players/klay-thompson-1.html
alec-burks-1,Alec Burks,2010-2011,Colorado,68,67,2100,27.8,.592,.175,.579,8.8,13.7,11.3,17.0,2.1,1.2,12.6,30.0,9.2,1.6,10.8,8.0,0.0,8.1,https://www.sports-reference.com/cbb/players/alec-burks-1.html
markieff-morris-1,Markieff Morris,2010-2011,Kansas,109,43,2105,25.7,.603,.152,.504,13.0,22.9,17.7,10.9,1.7,4.8,18.4,21.8,5.5,5.5,10.9,6.7,3.6,10.3,https://www.sports-reference.com/cbb/players/markieff-morris-1.html
marcus-morris-1,Marcus Morris,2010-2011,Kansas,109,90,2611,27.5,.601,.134,.514,12.1,16.7,14.6,10.2,1.9,1.8,13.1,24.5,9.4,5.8,15.2,8.0,2.9,10.9,https://www.sports-reference.com/cbb/players/marcus-morris-1.html
kawhi-leonard-1,Kawhi Leonard,2010-2011,San Diego State,70,69,2236,25.0,.513,.195,.312,12.6,25.0,19.0,14.4,2.7,2.2,13.7,26.0,6.1,5.7,11.8,5.3,3.9,9.2,https://www.sports-reference.com/cbb/players/kawhi-leonard-1.html
nikola-vucevic-1,Nikola Vučević,2010-2011,USC,87,67,2409,24.2,.571,.169,.355,10.8,24.5,17.7,10.1,1.0,4.4,13.3,22.7,6.5,5.5,12.0,6.7,2.8,9.4,https://www.sports-reference.com/cbb/players/nikola-vucevic-1.html
iman-shumpert-1,Iman Shumpert,2010-2011,Georgia Tech,92,91,2877,19.9,.503,.373,.390,4.6,12.9,7.9,26.5,4.3,0.6,19.5,23.9,4.1,5.5,9.7,5.4,4.2,9.6,https://www.sports-reference.com/cbb/players/iman-shumpert-1.html
chris-singleton-1,Chris Singleton,2010-2011,Florida State,95,91,2761,18.8,.507,.393,.419,8.0,16.9,11.9,10.6,4.1,5.1,19.1,21.4,2.5,7.5,10.0,3.3,5.6,9.0,https://www.sports-reference.com/cbb/players/chris-singleton-1.html
tobias-harris-1,Tobias Harris,2010-2011,Tennessee,34,33,993,23.8,.540,.189,.423,7.5,20.6,14.0,10.4,1.4,3.4,11.4,27.2,2.9,1.5,4.4,5.5,1.8,7.3,https://www.sports-reference.com/cbb/players/tobias-harris-1.html
nolan-smith-1,Nolan Smith,2010-2011,Duke,143,97,3842,22.9,.551,.303,.345,3.5,7.9,5.7,21.1,2.1,0.4,14.4,25.6,11.6,6.7,18.3,7.5,2.3,9.9,https://www.sports-reference.com/cbb/players/nolan-smith-1.html
kenneth-faried-1,Kenneth Faried,2010-2011,Morehead State,136,122,3964,33.5,.579,.009,.549,18.2,33.9,25.8,6.0,3.3,8.5,14.9,26.1,11.8,12.4,24.3,6.2,2.3,8.5,https://www.sports-reference.com/cbb/players/kenneth-faried-1.html
reggie-jackson-1,Reggie Jackson,2010-2011,Boston College,99,52,2775,23.9,.560,.352,.302,5.5,12.8,9.2,26.8,1.6,1.6,15.3,24.8,7.9,2.9,10.8,8.9,0.9,9.8,https://www.sports-reference.com/cbb/players/reggie-jackson-1.html
marshon-brooks-1,MarShon Brooks,2010-2011,Providence,113,56,2855,25.8,.559,.375,.318,6.4,12.3,9.3,13.5,2.5,2.5,12.4,27.9,8.4,2.6,11.0,8.8,1.5,10.3,https://www.sports-reference.com/cbb/players/marshon-brooks-1.html
jordan-hamilton-2,Jordan Hamilton,2010-2011,Texas,70,36,1835,23.3,.538,.461,.218,6.4,16.8,11.7,14.2,1.8,1.8,11.7,27.7,5.5,3.9,9.4,8.3,3.1,11.4,https://www.sports-reference.com/cbb/players/jordan-hamilton-2.html
jajuan-johnson-1,JaJuan Johnson,2010-2011,Purdue,140,119,3856,26.8,.556,.043,.470,8.4,19.1,13.2,6.0,1.6,6.7,9.8,26.9,10.3,11.5,21.8,7.0,3.5,10.5,https://www.sports-reference.com/cbb/players/jajuan-johnson-1.html
norris-cole-1,Norris Cole,2010-2011,Cleveland State,140,106,4114,25.6,.539,.278,.377,2.0,13.0,6.4,26.0,3.5,0.3,13.4,26.8,10.5,6.4,16.9,6.7,3.5,10.2,https://www.sports-reference.com/cbb/players/norris-cole-1.html
cory-joseph-1,Cory Joseph,2010-2011,Texas,36,36,1166,15.1,.526,.391,.227,2.2,9.5,6.0,17.3,1.9,0.9,13.1,17.3,2.2,2.2,4.4,2.7,3.8,6.5,https://www.sports-reference.com/cbb/players/cory-joseph-1.html
jimmy-butler-1,Jimmy Butler,2010-2011,Marquette,106,69,3134,24.7,.607,.122,.776,8.5,13.2,11.1,11.2,2.4,1.6,9.5,19.0,11.2,4.7,15.9,7.2,2.2,9.4,https://www.sports-reference.com/cbb/players/jimmy-butler-1.html
justin-harper-1,Justin Harper,2010-2011,Richmond,137,96,3133,25.8,.584,.421,.258,7.1,17.8,12.4,7.5,1.5,3.6,12.1,24.6,8.1,5.7,13.8,8.2,1.5,9.7,https://www.sports-reference.com/cbb/players/justin-harper-1.html
kyle-singler-1,Kyle Singler,2010-2011,Duke,148,147,4887,21.6,.548,.392,.342,7.5,14.0,11.6,11.9,1.6,1.8,12.6,24.7,13.5,12.2,25.7,4.6,1.8,6.4,https://www.sports-reference.com/cbb/players/kyle-singler-1.html
shelvin-mack-1,Shelvin Mack,2010-2011,Butler,108,107,3374,21.0,.544,.493,.303,2.4,13.7,8.3,25.4,2.1,0.3,14.5,26.3,7.9,5.9,13.8,5.6,1.0,6.6,https://www.sports-reference.com/cbb/players/shelvin-mack-1.html
tyler-honeycutt-1,Tyler Honeycutt,2010-2011,UCLA,59,51,1873,17.5,.528,.366,.346,6.9,18.6,13.0,17.7,2.2,5.2,22.1,20.4,1.9,3.2,5.2,3.6,3.5,7.1,https://www.sports-reference.com/cbb/players/tyler-honeycutt-1.html
jordan-williams-1,Jordan Williams,2010-2011,Maryland,66,64,1890,23.2,.540,.000,.544,12.8,24.8,19.0,2.8,1.4,3.9,9.4,22.5,4.9,4.4,9.3,4.3,2.0,6.3,https://www.sports-reference.com/cbb/players/jordan-williams-1.html
trey-thompkins-1,Trey Thompkins,2010-2011,Georgia,89,81,2628,24.8,.536,.194,.297,7.8,21.7,15.1,11.8,2.0,4.3,15.3,29.7,5.5,4.7,10.2,3.9,2.9,6.8,https://www.sports-reference.com/cbb/players/trey-thompkins-1.html
chandler-parsons-1,Chandler Parsons,2010-2011,Florida,142,81,3964,20.5,.560,.411,.363,7.7,18.2,13.0,19.1,2.0,0.9,15.3,19.6,8.4,7.2,15.5,5.1,3.2,8.3,https://www.sports-reference.com/cbb/players/chandler-parsons-1.html
jon-leuer-1,Jon Leuer,2010-2011,Wisconsin,123,68,2810,29.2,.559,.253,.309,6.3,21.6,12.8,12.4,1.1,3.3,10.3,28.4,8.9,5.6,14.5,7.9,1.8,9.8,https://www.sports-reference.com/cbb/players/jon-leuer-1.html
darius-morris-1,Darius Morris,2010-2011,Michigan,67,53,1996,17.0,.526,.191,.365,2.8,9.4,6.1,35.4,1.8,0.3,19.6,22.3,3.8,2.4,6.2,4.5,1.8,6.3,https://www.sports-reference.com/cbb/players/darius-morris-1.html
malcolm-lee-1,Malcolm Lee,2010-2011,UCLA,94,65,2514,15.1,.536,.361,.430,3.6,9.5,7.0,15.0,1.6,0.8,15.9,21.1,4.2,2.6,6.8,2.1,1.2,3.3,https://www.sports-reference.com/cbb/players/malcolm-lee-1.html
charles-jenkins-1,Charles Jenkins,2010-2011,Hofstra,128,128,4592,27.5,.563,.254,.425,2.5,9.4,6.6,26.0,2.9,1.4,14.7,28.4,13.9,6.2,20.2,8.4,1.2,9.6,https://www.sports-reference.com/cbb/players/charles-jenkins-1.html
josh-harrellson-1,Josh Harrellson,2010-2011,Kentucky,94,40,1486,21.9,.576,.086,.279,14.9,19.1,16.8,4.9,1.9,5.3,13.6,15.0,3.6,3.2,6.8,4.9,3.8,8.7,https://www.sports-reference.com/cbb/players/josh-harrellson-1.html
andrew-goudelock-1,Andrew Goudelock,2010-2011,College of Charleston,140,124,4588,25.2,.574,.458,.150,2.4,10.4,5.7,19.3,1.7,0.7,12.2,28.2,14.9,3.4,18.3,7.4,-1.4,6.0,https://www.sports-reference.com/cbb/players/andrew-goudelock-1.html
travis-leslie-1,Travis Leslie,2010-2011,Georgia,90,68,2345,25.1,.537,.066,.382,12.6,14.0,13.6,18.9,2.5,2.6,15.0,26.2,6.1,3.5,9.6,6.5,2.3,8.9,https://www.sports-reference.com/cbb/players/travis-leslie-1.html
keith-benson-1,Keith Benson,2010-2011,Oakland,135,126,3616,29.4,.597,.024,.630,10.3,25.1,17.3,5.2,1.1,8.8,10.3,23.7,12.8,6.9,19.7,3.6,1.9,5.4,https://www.sports-reference.com/cbb/players/keith-benson-1.html
josh-selby-1,Josh Selby,2010-2011,Kansas,26,11,530,11.9,.489,.487,.192,2.4,9.7,6.3,17.8,2.3,0.2,20.1,24.4,0.4,0.9,1.3,0.3,2.1,2.4,https://www.sports-reference.com/cbb/players/josh-selby-1.html
lavoy-allen-1,Lavoy Allen,2010-2011,Temple,135,130,4352,21.8,.562,.060,.293,10.8,22.0,16.5,14.3,1.1,5.0,13.0,19.3,9.5,9.7,19.2,2.6,3.1,5.6,https://www.sports-reference.com/cbb/players/lavoy-allen-1.html
jon-diebler-1,Jon Diebler,2010-2011,Ohio State,144,114,4688,17.9,.622,.812,.237,1.1,7.9,5.1,10.7,1.8,0.5,12.0,15.7,11.2,6.2,17.3,8.0,3.6,11.6,https://www.sports-reference.com/cbb/players/jon-diebler-1.html
vernon-macklin-1,Vernon Macklin,2010-2011,Florida,71,69,1764,22.2,.591,.000,.314,11.4,13.9,12.7,7.1,1.1,3.3,14.1,22.6,4.6,2.6,7.2,3.1,1.4,4.5,https://www.sports-reference.com/cbb/players/vernon-macklin-1.html
deandre-liggins-1,DeAndre Liggins,2010-2011,Kentucky,100,29,2192,14.0,.505,.392,.411,2.8,11.6,7.6,17.0,2.4,2.1,20.5,16.4,2.5,3.8,6.3,1.4,4.5,5.9,https://www.sports-reference.com/cbb/players/deandre-liggins-1.html
etwaun-moore-1,E'Twaun Moore,2010-2011,Purdue,140,135,4517,22.6,.536,.360,.258,4.3,11.7,8.0,20.2,2.5,1.2,12.7,27.5,9.9,9.4,19.3,7.1,3.1,10.2,https://www.sports-reference.com/cbb/players/etwaun-moore-1.html
ater-majok-1,Ater Majok,2010-2011,UConn,26,22,383,22.6,.425,.000,.373,9.6,12.3,11.0,1.9,0.6,10.1,23.2,11.6,-0.1,0.6,0.5,7.1,3.1,10.2,https://www.sports-reference.com/cbb/players/ater-majok-1.html
isaiah-thomas-1,Isaiah Thomas,2010-2011,Washington,105,104,3197,21.5,.538,.388,.484,2.3,10.7,6.5,26.2,2.1,0.2,14.8,26.6,8.5,4.7,13.2,6.2,1.9,8.1,https://www.sports-reference.com/cbb/players/isaiah-thomas-1.html
